@relation iris-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Center_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A4-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric

@data
-0.012175,-0.045156,-0.061438,0.092081
-0.005494,-0.004191,-0.135674,0.020147
0.018932,-0.06559,-0.091932,0.02889
-0.003756,-0.103705,-0.074958,-0.005746
-0.006698,-0.084134,-0.033061,0.092849
0.009116,-0.05747,0.005399,0.15212
0.04848,-0.118442,-0.040859,0.038193
-0.021391,-0.066713,-0.057475,0.064651
0.018228,-0.097149,-0.106067,-0.038987
-0.055289,-0.057408,-0.094921,0.01819
-0.039026,-0.029722,-0.039993,0.135049
-0.02513,-0.127249,-0.025135,0.037989
-0.037561,-0.045852,-0.116981,0.005173
0.027189,-0.106128,-0.107696,-0.021846
-0.016245,0.05694,-0.061545,0.227065
0.024513,-0.043332,0.043948,0.248194
0.063005,0.008758,-0.046648,0.180946
0.024758,-0.025484,-0.070467,0.097327
-0.043027,0.005815,-0.033277,0.165561
0.013117,-0.093007,-0.001316,0.121608
-0.067802,-0.01187,-0.070108,0.089149
0.049439,-0.056347,-0.029058,0.116359
0.066657,-0.105864,-0.046451,0.082764
0.056986,-0.001834,-0.086915,0.06521
-0.065547,-0.17692,0.013899,0.01637
-0.037305,-0.015315,-0.119315,0.015462
0.039002,-0.043927,-0.062521,0.067938
-0.030514,-0.039723,-0.05809,0.094602
-0.017652,-0.006178,-0.089815,0.091313
-0.021485,-0.115261,-0.052897,0.00727
-0.026962,-0.076283,-0.081274,0.006502
0.033008,0.060587,-0.114189,0.114055
-0.063785,-0.161327,0.063216,0.15233
-0.027369,-0.076119,0.030896,0.204461
-0.055289,-0.057408,-0.094921,0.01819
0.017804,0.016935,-0.133936,0.065279
-0.01817,0.059359,-0.113105,0.138198
-0.055289,-0.057408,-0.094921,0.01819
0.032311,-0.097581,-0.100366,-0.021285
-0.026258,-0.044724,-0.067139,0.074379
0.043097,-0.030917,-0.073814,0.094806
0.060104,0.063001,-0.250048,-0.07978
0.033532,-0.131558,-0.06294,-0.000293
0.113479,-0.021572,-0.061866,0.088926
-0.003839,-0.139563,0.041701,0.098029
0.036305,-0.006509,-0.135039,0.015666
-0.037288,-0.129236,0.020724,0.109155
0.010326,-0.104136,-0.069256,0.011956
